Date,Open,High,Low,Last,Volume,Turnover
2017-06-19,79.87,81.05,79.72,80.83,1087036.0,87710115.85
2017-06-16,77.86,80.21,77.75,80.21,1722176.0,137095074.69
2017-06-15,78.03,78.11,76.96,77.86,1415629.0,109753397.08
2017-06-14,78.2,79.2,78.02,78.02,691670.0,54232147.83
2017-06-13,78.02,78.52,77.8,78.29,751583.0,58837207.79
2017-06-12,79.18,79.26,77.93,78.06,779290.0,61034648.48
2017-06-09,78.85,79.61,78.76,79.2,1018179.0,80653045.26
2017-06-08,79.21,79.31,78.42,78.7,984583.0,77436118.47
2017-06-07,79.5,80.03,79.23,79.23,792671.0,63072709.25
2017-06-06,79.7,80.18,79.55,79.66,977134.0,78039557.73
2017-06-05,80.08,80.33,79.89,80.07,571203.0,45729609.49
2017-06-02,80.04,80.36,79.64,79.78,863569.0,68984154.62
2017-06-01,79.21,80.49,79.03,79.91,1150069.0,91954046.41
2017-05-31,79.29,80.0,78.8,78.8,1244751.0,98645333.84
2017-05-30,79.55,79.68,78.98,79.15,760778.0,60302893.88
2017-05-29,79.96,80.09,79.33,79.59,593076.0,47299376.14
2017-05-26,78.75,79.72,78.2,79.57,1765122.0,139516270.75
2017-05-25,76.8,78.47,75.93,78.47,2141234.0,166317365.16
2017-05-24,76.15,76.34,75.97,76.11,38260.0,2912010.54
2017-05-23,75.91,76.44,75.72,76.17,596444.0,45448666.75
2017-05-22,76.33,76.43,75.81,75.95,753432.0,57314472.1
2017-05-19,76.49,77.12,75.86,76.36,1089774.0,83266680.84
2017-05-18,75.86,76.75,75.0,76.35,1333329.0,101322838.91
2017-05-17,76.9,76.96,74.97,75.37,1056139.0,80154015.93
2017-05-16,77.22,77.22,76.55,76.91,682162.0,52473551.96
2017-05-15,77.0,77.22,76.57,77.0,681127.0,52365898.64
2017-05-12,75.8,77.15,75.78,77.03,895721.0,68708020.05
2017-05-11,77.1,77.16,75.65,75.82,1545112.0,117872393.75
2017-05-10,77.65,78.23,77.41,77.49,1112554.0,86531170.87
2017-05-09,78.27,78.41,77.69,77.71,831133.0,64712555.94
2017-05-08,78.15,78.15,77.49,77.9,813732.0,63372352.35
2017-05-05,77.97,78.35,76.98,78.13,1141273.0,88917813.77
2017-05-04,77.0,77.96,76.95,77.83,961051.0,74539409.8
2017-05-03,77.31,77.55,76.55,76.96,868267.0,66859096.12
2017-05-02,75.81,77.45,75.64,77.34,1070959.0,82405051.33
2017-04-28,76.71,76.72,75.53,76.02,1277081.0,97030565.0
2017-04-27,76.01,76.91,75.78,76.75,987587.0,75465007.62
2017-04-26,75.99,76.49,75.53,76.0,1411114.0,107376800.1
2017-04-25,75.95,75.95,75.11,75.77,1029410.0,77772484.76
2017-04-24,75.53,77.12,75.32,75.84,2190150.0,166798400.98
2017-04-21,73.6,74.16,72.95,73.73,1351792.0,99516419.5
2017-04-20,72.62,73.93,72.57,73.66,1011488.0,74075061.03
2017-04-19,72.72,72.93,72.57,72.65,859463.0,62499090.46
2017-04-18,72.76,73.75,72.44,72.73,1158698.0,84440329.13
2017-04-13,73.1,73.31,72.67,72.8,817667.0,59597059.22
2017-04-12,73.23,73.74,72.92,73.07,702779.0,51463400.01
2017-04-11,72.5,73.13,72.03,73.07,860349.0,62562202.93
2017-04-10,72.8,73.31,72.47,72.85,1050741.0,76584507.2
2017-04-07,71.75,72.83,71.27,72.83,1201384.0,86774444.13
2017-04-06,70.6,72.0,70.48,71.93,1199934.0,85910687.96
2017-04-05,70.58,71.06,70.5,70.82,833234.0,58981440.61
2017-04-04,70.67,71.18,70.06,70.56,716160.0,50461554.35
2017-04-03,69.95,71.46,69.81,70.69,1217023.0,86123500.63
2017-03-31,69.44,70.14,69.23,70.03,1461662.0,101991223.12
2017-03-30,69.84,70.3,69.75,70.04,798092.0,55878376.5
2017-03-29,69.94,70.17,69.66,69.86,576982.0,40333079.78
2017-03-28,69.79,69.89,69.13,69.76,757684.0,52666493.97
2017-03-27,69.6,69.71,68.53,69.65,693408.0,48019725.4
2017-03-24,69.85,69.96,69.43,69.6,775787.0,54048138.12
2017-03-23,68.97,70.1,68.68,69.86,1045844.0,72794380.04
2017-03-22,68.1,69.19,67.54,69.19,1238675.0,85063489.93
2017-03-21,68.34,68.66,67.79,68.15,892615.0,60855592.52
2017-03-20,68.22,68.29,67.89,68.2,511652.0,34864202.29
2017-03-17,67.76,68.11,67.17,68.11,1436345.0,97489833.98
2017-03-16,68.36,68.41,67.3,67.8,1239032.0,83916629.88
2017-03-15,68.0,68.41,67.22,67.84,1746131.0,118440613.56
2017-03-14,68.78,68.83,68.1,68.4,807821.0,55253911.86
2017-03-13,69.1,69.2,68.57,68.72,534131.0,36718718.33
2017-03-10,69.24,69.43,68.96,69.05,751317.0,51939831.56
2017-03-09,69.25,69.37,68.82,69.14,774983.0,53551619.46
2017-03-08,68.28,69.4,68.28,69.3,674414.0,46577185.78
2017-03-07,69.05,69.05,68.68,68.8,732438.0,50415264.02
2017-03-06,68.67,69.12,68.4,69.0,696917.0,48015326.0
2017-03-03,68.73,68.89,68.17,68.6,1020084.0,69952841.09
2017-03-02,68.2,68.8,68.06,68.77,1073370.0,73579387.14
2017-03-01,67.5,68.25,67.19,67.93,1246162.0,84595803.78
2017-02-28,65.95,67.16,65.9,67.16,1492544.0,99593145.27
2017-02-27,65.98,66.0,65.5,65.77,889164.0,58496646.33
2017-02-24,66.01,66.35,65.11,65.5,1312936.0,86028553.7
2017-02-23,64.78,67.55,64.78,65.99,1253238.0,82661153.67
2017-02-22,65.1,65.31,64.6,64.73,853940.0,55379147.01
2017-02-21,65.2,65.49,65.01,65.17,734309.0,47886519.84
2017-02-20,64.51,65.32,64.51,65.24,521454.0,33931439.38
2017-02-17,64.7,64.95,64.04,64.38,1122735.0,72332911.16
2017-02-16,65.46,65.46,64.54,64.9,1619262.0,105054932.45
2017-02-15,64.85,66.18,64.85,66.05,1594969.0,104716010.16
